day,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,,,,
9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,,,,
9/25/2018,54.2,38.3,46.6,31.7,0,0,0,16.9,17.9,3.5,57.87,Clear,,,,
9/26/2018,59.3,48.5,52.5,44.1,0,0.44,0,17.6,26.8,25,80.99,"Rain, Clear",,,,
9/27/2018,55.2,44.9,50.2,42.1,0,0.66,0,14.7,13.4,13.1,67.9,"Rain, Clear",,,,
9/28/2018,48.8,41.2,44.3,35.8,0,0.53,0,11.5,15.7,9.6,81.38,"Rain, Clear",,,,
9/29/2018,52.9,37.3,45.4,34.1,0,0.01,0,15.3,15.7,8.6,66.75,"Rain, Clear",,,,
9/30/2018,56.9,49.1,52.5,45.9,0,0.04,0,15.3,17.9,9.8,72.57,"Rain, Clear",,,,
10/1/2018,53.4,44.5,48,40.7,0,0.28,0,6.7,8.9,7.7,84.32,"Rain, Clear",,,,
10/2/2018,49.4,39,45.1,40.3,0,0.07,0,10.5,8.9,14,87.55,"Rain, Clear",,,,
10/3/2018,49.2,41.5,44.8,37.4,0,0.32,0,15.3,17.9,7.9,80,"Rain, Clear",,,,
10/4/2018,47.9,36,42.4,31.3,0,0,0,8.9,8.9,8.2,77.08,Clear,,,,
10/5/2018,60.8,47.1,54,43.8,0,0,0,13.4,15.7,9.1,71.52,Clear,,,,
10/6/2018,52.4,48,49.9,44.5,0,0,0,10.5,11.2,11.4,70.77,Clear,,,,
10/7/2018,49.3,40.7,45.5,38.8,0,0.01,0,11.2,11.2,5.5,70.55,"Rain, Clear",,,,
10/8/2018,53,39,46.5,37,0,0.07,0,14.7,13.4,11.3,80.94,"Rain, Clear",,,,
10/9/2018,59.3,51.6,55.9,0,0,0.04,0,15.7,20.1,13.1,80.04,"Rain, Clear",,,,
10/10/2018,60,56.9,57.7,0,0,0,0,17.9,20.1,13.3,75.59,Clear,,,,
10/11/2018,56.9,48.3,53,44.4,0,0,0,13.1,13.4,14.1,88.79,Clear,,,,
10/12/2018,62.9,48,53.7,44.5,0,0,0,12.4,11.2,2.5,86.01,Clear,,,,
10/13/2018,66.4,50.4,57.1,0,0,0,0,8.9,13.4,4.9,78.88,Clear,,,,
10/14/2018,63.9,52.1,57.3,0,0,0,0,13.2,13.4,1,75.42,Clear,,,,
10/15/2018,66.1,51.5,56.3,0,0,0,0,12.8,11.2,1.3,74.84,Clear,,,,
10/16/2018,55.2,48.7,51.2,46.6,0,0,0,6.7,8.9,9.4,86.99,Clear,,,,
10/17/2018,58.8,49.4,53.5,46.6,0,0,0,6.7,8.9,9.5,89.63,Clear,,,,
10/18/2018,58.2,44.9,53.8,0,0,0.06,0,13.4,13.4,4.5,76.07,"Rain, Clear",,,,
10/19/2018,51.6,40.1,45.1,0,0,0,0,4.5,4.5,2.6,77.02,Clear,,,,
10/20/2018,50.1,42.2,46.1,43.4,0,0.06,0,4.5,6.7,9.4,80.83,"Rain, Clear",,,,
10/21/2018,54.3,39.2,46.6,34.7,0,0,0,11.2,13.4,11.6,89.19,Clear,,,,
10/22/2018,57.8,44.8,50.5,39.8,0,0,0,17.2,17.9,3,65.08,Clear,,,,
10/23/2018,45.2,39.4,42.4,31.6,0,0.3,0,13.8,17.9,12.1,83.74,"Rain, Clear",,,,
10/24/2018,45.3,36.2,40.8,26.9,0,0.01,0,17.6,17.9,3.8,66.89,"Rain, Clear",,,,
10/25/2018,44.3,37.7,40.2,33.3,0,0,0,8.9,11.2,8.4,70.02,Clear,,,,
10/26/2018,40.4,32.6,36.1,28.1,0,0,0,8.6,8.9,5.1,80.81,Clear,,,,
10/27/2018,39.3,32.6,36.2,26,0,0.02,0,19.4,22.4,10.5,76.49,"Rain, Clear",,,,
10/28/2018,38.7,31.4,34.6,25.1,0,0,0,11.2,15.7,11,77.15,Clear,,,,
